06:00:00;79.04;10.6;47.84
06:00:05;79.91;8.9;50.08
06:00:10;80.24;9.49;49.49
06:00:15;79.58;10.12;48.38
06:00:20;79.99;9.54;50.5
06:00:25;79.55;10.43;51.23
06:00:30;80.71;10.34;50.75
06:00:35;81.37;11.38;50.03
06:00:40;81.43;8.99;50.29
06:00:45;79.33;8.33;51.52
06:00:50;79.62;9.22;49.16
06:00:55;78.72;9.21;49.4
06:01:00;80.22;9.01;50.27
06:01:05;81.38;10.66;49.66
06:01:10;79.95;10.94;51.17
06:01:15;79.24;10.73;49.83
06:01:20;78.81;11.53;50.57
06:01:25;80.9;9.07;49.8
06:01:30;80.74;9.43;50.89
06:01:35;78.9;10.41;49.7
06:01:40;77.6;8.88;49.44
06:01:45;80.41;10.71;50.07
06:01:50;79.9;10.46;50.84
06:01:55;81.88;9.65;49.2
06:02:00;80.12;9.8;49.0
06:02:05;77.29;9.51;49.22
06:02:10;80.54;9.21;49.75
06:02:15;80.61;8.44;50.16
06:02:20;80.96;9.84;50.69
06:02:25;80.3;9.47;51.5
06:02:30;82.56;10.74;50.77
06:02:35;79.03;9.85;50.92
06:02:40;80.93;10.39;50.13
06:02:45;80.91;9.67;49.45
06:02:50;78.02;9.99;51.35
06:02:55;80.08;9.93;49.1
06:03:00;81.93;10.77;48.95
06:03:05;81.57;9.12;49.18
06:03:10;79.49;11.4;49.58
06:03:15;81.0;8.74;49.95
06:03:20;80.34;9.79;50.8
06:03:25;78.47;10.66;49.96
06:03:30;79.2;8.96;50.52
06:03:35;79.45;8.55;50.69
06:03:40;80.0;11.32;50.31
06:03:45;81.88;10.09;48.55
06:03:50;81.16;10.61;49.41
06:03:55;80.55;9.96;49.37
06:04:00;81.22;9.0;48.21
06:04:05;79.88;9.45;49.49
06:04:10;78.77;9.73;49.09
06:04:15;79.91;9.26;50.35
06:04:20;80.6;9.1;48.55
06:04:25;79.6;9.21;50.72
06:04:30;79.39;11.73;48.33
06:04:35;79.77;11.38;49.94
06:04:40;78.93;10.41;51.46
06:04:45;79.45;9.41;49.88
06:04:50;80.52;11.6;47.53
06:04:55;80.03;10.53;50.23
06:05:00;77.79;10.0;49.05
06:05:05;79.63;10.55;48.53
06:05:10;80.54;8.79;49.84
06:05:15;80.49;9.41;51.89
06:05:20;78.95;11.14;47.05
06:05:25;78.73;9.48;49.76
06:05:30;78.67;11.42;50.23
06:05:35;80.41;9.93;48.55
06:05:40;80.31;10.85;50.59
06:05:45;80.52;10.35;51.06
06:05:50;78.21;10.06;49.71
06:05:55;79.68;9.9;49.94
06:06:00;80.98;12.67;50.74
06:06:05;77.78;9.71;50.74
06:06:10;80.53;9.79;49.2
06:06:15;77.98;7.71;50.82
06:06:20;80.77;11.42;50.95
06:06:25;80.65;10.61;50.24
06:06:30;80.55;9.42;51.7
06:06:35;80.6;8.38;48.7
06:06:40;79.93;8.9;49.65
06:06:45;78.28;9.65;51.46
06:06:50;80.35;9.12;50.21
06:06:55;81.32;12.41;50.37
06:07:00;79.2;10.06;49.48
06:07:05;80.11;10.25;49.92
06:07:10;79.65;10.74;48.7
06:07:15;82.08;10.74;50.53
06:07:20;79.07;10.33;51.18
06:07:25;79.74;9.84;50.17
06:07:30;79.36;10.43;49.06
06:07:35;80.54;9.84;49.93
06:07:40;79.26;9.69;49.09
06:07:45;79.69;8.99;51.34
